"AED Serial Number",Model/Type,"School Location","School Name","School Code","Building Code",Region,"Is Cooling Center?",City,Zip,Floor,"Summer School?",Complete?,"Date Completed",Invoiced?,Recalled?,RMA?,"AED Location","Pads A","Pads B","Pediatric Pads","G 2005","Spare Battery Install Before Date",Battery,"Medical Director","Municipal Filing","Num Drills","Num Service Calls","Service History","Last Service Date","Trainer Name","# Trained","Contact Name","Contact Phone","Contact Email"
0203084597,NYC100_FR2,"7 Beaver Street","Richard R. Green High School of Teaching",02-M-580,,,N,"New York",10004,,No,No,,No,No,No,PSAL,2007-02-01,2007-02-01,2007-03-01,N,2009-06-01,,,,25,24,"Unit unavailable for insp.  10/07  Missing/Unknown 6/08
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2011-09-23,"Taylor Litz",4,"Jackie Mayol",646-826-8174,jmayol@schools.nyc.gov
0203085450,NYC100_FR2,"1600 Rockaway Parkway","High School for Medical Professions",18-K-633,,,N,Brooklyn,11236,,No,No,,No,No,No,"PSAL- ",2011-05-01,2011-05-01,2011-03-01,Y,2009-05-01,,,,23,25,"Out with Coach: 2016-12-23 09:38:06
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2009-03-10,,2,"Joseph Mento",718-290-8667,jmento@schools.nyc.gov
0203085454,NYC100_FR2,"420 East 12 Street","East Side Community School",01-M-450,,,N,"New York",10009,,No,No,,No,No,No,"PSAL- ",2014-06-01,2014-06-01,2014-04-01,Y,2013-10-01,,,,34,35,"Spare battery needed.  *This unit was sent to the school to replace a lost unit when the school was temporarily relocated in another bldg. in early October 2012.  This unit arrived in Feb. 2013.  *Unit not found; possibly missing 5/15
AED Marked Unavailab
Signed for by Smith on 10/11/12. - 11/19/2013
AED Marked Unavailable 

Out with Coach: 2018-04-25 11:11:39
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2013-11-19,"Taylor Litz",14,"Lily Garcia","(212) 460-8467",lgarcia30@schools.nyc.gov
0203085797,NYC100_FR2,"200 West 135 Street","Thurgood Marshall Academy for Learning and Social Change",05-M-670,,,N,"New York",10030,,No,No,,No,No,No,PSAL,2016-03-01,2016-03-01,2017-03-01,Y,2014-10-01,,,,39,29,"Spare battery requested  11/08  Out of the Building. 04/09.  *Battery requested 1/10  *Not available for inspection/Out for sports practice 4/10  *Spare battery & FR kit requested 12/10  *Out with coach/no inspection. 5/11  *Out with coach 12/13  *Out with coach 11/14 and again 4/16 and again 9/16
police report advised via email 12/09/2016 SF
AED Marked Unavailable 

Error With Unit: 2018-04-10 14:51:23
Error Description: triple chirp. I'm collecting it and will bring it to DOE
Returning to the DOE - 04/10/18 (Peter Shikar)",2018-04-10,"Taylor Litz",12,"Kathryn Francis","212 283 8055",kfrancis6@schools.nyc.gov
0203085859,NYC100_FR2,"245 East 56 Street","Art and Design High School",02-M-630,,9,N,"New York",10022,,No,No,,No,No,No,"Main entrance by school safety",2014-02-01,2013-09-01,2014-03-01,Y,2013-06-01,,,,37,32,"Missing PC Data Card.
Spare battery and PC data card needed.  11/07  PC data card requested again 6/08
Missing PC Data Card. 04/10
Unit not available for verification. School moved to new building.
AED Marked Unavailable 

AED Marked Unavailable 
",2014-05-27,"Taylor Litz",5,"Barrington McCalla",6318970194,bmccall2@schools.nyc.gov
0206183738,NYC_FR2,"90 Trinity Place","Leadership and Public Service High School",02-M-425,,9,N,"New York",10006,,No,No,,No,No,No,PSAL,2011-05-01,2011-05-01,2010-03-01,Y,,,,,33,29,"Unit not available for inspection 1/08 & 12/08  *Missing per K. Kelly 5/10
AED Marked Unavailable 

AED Marked Unavailable 
",2011-03-30,"Taylor Litz",5,"Coury Velez",212-346-0007,"cvelez22@schools.nyc.gov "
0303080912,NYC100_FR2,"32-24 Corporal Kennedy Street","Bayside High School",26-Q-495,,,N,Bayside,11361,,No,No,,No,No,No,"PSAL ",2008-12-01,2008-12-01,2008-12-01,Y,2009-08-01,,,,43,43,"Not available for inspection 3/08 *Out with coach/Not available for inspection 12/08  *Not available for inspection 5/09 and again on 11/09  *Unit noted as MISSING 1/10
AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2019-05-03 11:54:01
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2021-12-09 12:08:19
AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2022-11-22,"Steve Rizzo",22," Joe Capuana",516-729-7927,jcapuan@schools.nyc.gov
0303086312,NYC100_FR2,"167-01 Gothic Drive","High School For Community Leadership",28-Q-328,,,N,Jamaica,11432,,No,No,,No,No,No,"PSAL ",2007-10-01,2007-10-01,2007-03-01,N,2010-07-01,,,,7,9,"Unit not available for inspection 10/07, 3/08 & 5/08
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2013-05-30,"Steve Rizzo",10,"Neeta Ahmed",,nahmed7@schools.nyc.gov
0303086386,NYC_FR2,"100 West Mosholu Parkway South","DeWitt Clinton High School",10-X-440,,1,N,Bronx,10468,,No,No,,No,No,No,PSAL,2016-11-01,2016-11-01,2016-12-01,N,2014-09-01,,,,33,42,"Unit not available for inspection 12/07 and again 3/08  No AED for 4-5 yrs?  *Unit no longer missing 5/09.  Case zipper damaged; new requested 11/11  *Will return next wk to inspect. 4/13
Out with Coach: 2016-06-21 11:23:16
Out with Coach: 2016-06-21 11
Old Aed was found in one of the lockers serial#0303087877  adult pads 5/17 411191801 5/17 411191801 pediatric pads 4/18 y07301507 battery02/22 - 3/3/2016
AED Marked Unavailable 
",2016-03-03,"Damian Carrera",6,"Steve Deep",718-543-1000,sdeep@schools.NYC.gov
0303086561,NYC_FR2,"257 North 6th Street","Brooklyn Preparatory High School",14-K-488,,,N,Brooklyn,11211,,No,No,,No,No,No,PSAL,2011-05-01,2011-05-01,2011-03-01,Y,2015-05-01,,,,24,21,"New ancillary supplies needed.  *UNIT STOLEN.  Police report filed per Mr. Gordon.  1/11
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2010-03-22,"Jonathan Cruz",17,"Danna Steppe",718-486-2550,dsteppe@schools.nyc.gov
0303086713,NYC100_FR2,"730 Concourse Village West","Careers in Sports High School",07-X-548,X790,,N,Bronx,10451,,No,No,,No,No,No,PSAL,2011-08-01,2011-08-01,2013-04-01,Y,2014-06-01,,,,25,28,"Need gloves.  Ancillary supplies requested. 5/08  *Unit not inspected 11/11 *Unit to be located; Either out with coach or missing.  TBD.  4/12  *Unit MISSING; Police report to be made. 4/12
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2012-12-03,"Damian Carrera",17,"Lou Schlanger","718-292-5551 cell 914-299-7531",LSchlan@schools.nyc.gov
0303086719,NYC100_FR2,"411 Pearl Street","Murry Bergtraum High School For Business Careers",02-M-520,,9,N,"New York",10038,,No,No,,No,No,No,PSAL,2014-01-01,2014-01-01,2013-04-01,Y,2015-06-01,,,,32,35,"Unit unavailable for inspection.  9/28/07 and again on 11/07
New spare battery & new case needed.  11/07  Battery open 10/08  *Not available for inspection 5/11 *Unit not on site for inspection 10/12
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2011-11-02,"Taylor Litz",4,"Seth Pearce",7187574633,spearce5@schools.nyc.gov
0303087280,NYC100_FR2,"100 West Mosholu Parkway South","DeWitt Clinton High School",10-X-440,,1,N,Bronx,10468,,No,No,,No,No,No,"PSAL- ",2016-05-01,2016-11-01,2016-12-01,Y,2014-12-01,,,,33,42,"Need new battery.  Unit not available for inspection 12/07 and again 3/08
Out with Coach: 2016-06-21 11:23:16
Out with Coach: 2016-06-21 11:23:16
Error With Unit: 2017-06-20 14:30:25
AED Marked Unavailable 
",2017-06-20,"Damian Carrera",6,"Steve Deep",718-543-1000,sdeep@schools.NYC.gov
0303087586,NYC100_FR2,"411 Pearl Street","Murry Bergtraum High School For Business Careers",02-M-520,,9,N,"New York",10038,,No,No,,No,No,No,PSAL,2014-01-01,2014-01-01,2014-01-01,Y,2014-04-01,,,,32,35,"Unit unavailable for insp.  9/28/07 and again in 11/07  Needs new case.  11/07  FR kit requested 10/08  *Not available for inspection 5/09  *Replaced FR kit. 5/10 *Not available for inspection 5/11
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2012-10-24,"Taylor Litz",4,"Seth Pearce",7187574633,spearce5@schools.nyc.gov
0303087605,NYC100_FR2,"3000 Avenue X","Origins High School",22-K-611,,FJMEC,N,Brooklyn,11235,,No,Yes,"2017-06-15 13:33:24",No,No,No,"PSAL ",2013-06-01,2012-01-01,2012-04-01,Y,2014-02-01,,,,17,19,"Case needs replacing.  FR kit requested 11/08  *Out of building 6/14.  Unit not available 5/15  and again 11/15  *Location unknown 5/16
Out with Coach: 2017-03-21 13:06:46
AED Marked Unavailable 2017-10-06

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2014-01-10,,6,"David DeCamp",,ddecamp@schools.nyc.gov
0303087613,NYC100_FR2,"100 West Mosholu Parkway South","DeWitt Clinton High School",10-X-440,,1,N,Bronx,10468,,No,No,,No,No,No,"PSAL- ",2015-06-01,2015-06-01,2015-05-01,Y,2014-10-01,,,,33,42,"reported missing 3/08
Service by Damian C. on 07/15/08. BM. 
Out with Coach: 2016-06-21 11:23:16
Out with Coach: 2016-06-21 11:23:16
AED Marked Unavailable 
",2014-10-24,"Damian Carrera",6,"Steve Deep",718-543-1000,sdeep@schools.NYC.gov
0303087699,NYC100_FR2,"411 Pearl Street","Murry Bergtraum High School For Business Careers",02-M-520,,9,N,"New York",10038,,No,No,,No,No,No,psal,2013-09-01,2013-09-01,2014-03-01,Y,2014-03-01,,,,32,35,"Unit unavailable for insp.  9/28/07 and again in 11/07  *New battery needed.  11/07  Unavailable for inspection 10/08
Unavailable for inspection 09/18/09  *New hard case requested 1/10  *Out with boys track coach 5/10  *FR Kit requested. 1/11  *FR kit re
Needs new case - 12/17/2012
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2012-12-17,"Taylor Litz",4,"Seth Pearce",7187574633,spearce5@schools.nyc.gov
0303087865,NYC100_FR2,"3000 Avenue X","Origins High School",22-K-611,,FJMEC,N,Brooklyn,11235,,No,Yes,"2017-06-15 13:33:27",No,No,No,"PSAL ",2014-01-01,2012-05-01,2012-12-01,Y,2013-08-01,,,,17,19,"Needs ancillary supplies; Needs new case; Some scratches on unit  *Out with coach/unavailable 5/12  *DESTROYED IN HURRICANE SANDY.  Car on fire. Report to follow. 5/13
Out with Coach: 2017-03-21 13:06:46
AED Marked Unavailable 2017-10-06

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2014-01-10,,6,"David DeCamp",,ddecamp@schools.nyc.gov
0303088045,NYC100_FR2,"32-24 Corporal Kennedy Street","Bayside High School",26-Q-495,,,N,Bayside,11361,,No,No,,No,No,No,"PSAL ",2009-11-01,2009-11-01,2009-11-01,Y,2014-03-01,,,,43,43,"Unit unavailable for insp.  9/17/07  New case requested 3/08  *Zipper broken 5/09  *Not available for inspection 11/09  *Not available/Out with Coach 1/10  *Missing 4/10
AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2019-05-03 11:54:01
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2021-12-09 12:08:19
AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2022-11-22,"Steve Rizzo",22," Joe Capuana",516-729-7927,jcapuan@schools.nyc.gov
0303088055,NYC100_FR2,"100 Amsterdam Avenue","Fiorello H. LaGuardia High School of Music & Art and Performing Arts",03-M-485,,,N,"New York",10023,,No,No,,No,No,No,PSAL,2011-04-01,2011-04-01,2011-03-01,Y,2009-06-01,,,,43,53,"Unit not available for inspection.  3/08
Unit not available for inspection. 6/04/08. BM.   Battery replaced 11/08 *New battery requested 3/09
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2009-03-03,"Peter Shikar",8,"Gregory Brummel","212 496 0700",gbrumme@schools.nyc.gov
0303088378,NYC100_FR2,"167-01 Gothic Drive","High School For Community Leadership",28-Q-328,,,N,Jamaica,11432,,No,No,,No,No,No,"OUTSIDE 322",2009-04-01,2009-04-01,2009-03-01,Y,2009-06-01,,,,7,9,"Unit not available for inspection.  Unit stolen.  *Unit replaced with 0403091286,  4/10
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING. Contact Instructed to file police report",2011-01-13,"Steve Rizzo",10,"Neeta Ahmed",,nahmed7@schools.nyc.gov
0303088394,NYC100_FR2,"257 North 6th Street","Brooklyn Preparatory High School",14-K-488,,,N,Brooklyn,11211,,No,No,,No,No,No,PSAL,2007-01-01,2007-01-01,2007-02-01,N,2009-09-01,,,,24,21,"Unit unavailable for inspection.  10/2/07
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2009-04-01,"Jonathan Cruz",17,"Danna Steppe",718-486-2550,dsteppe@schools.nyc.gov
0303088650,NYC100_FR2,"257 North 6th Street","Brooklyn Preparatory High School",14-K-488,,,N,Brooklyn,11211,,No,No,,No,No,No,PSAL,2007-06-01,2007-05-01,2007-04-01,N,2009-09-01,,,,24,21,"Unit unavailable for inspection.  10/2/07
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2009-04-01,"Jonathan Cruz",17,"Danna Steppe",718-486-2550,dsteppe@schools.nyc.gov
0303089058,NYC100_FR2,"2351 First Avenue","River East Elementary",04-M-037,,CFN14,N,"New York",10035,,No,No,,No,No,No,sports,2006-08-01,2006-08-01,2007-03-01,Y,2009-08-01,,,,29,15,"Unit not available for insp.  10/07
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
Formerly Owned by Coalition School For Social Change, which closed Summer 2018 
AED Marked Unavailable 
",2014-12-23,"Peter Shikar",7,"Jesenia Duran",(212)348-2208,jduran5@schools.nyc.gov
0303089087,NYC100_FR2,"600 Kingston Avenue","High School for Public Service: Heroes of Tomorrow",17-K-546,,,N,Brooklyn,11203,,No,No,,No,No,No,"PSAL- Boys Soccer",2013-06-01,2013-09-01,2014-01-01,Y,2013-10-01,,,,6,6,"Replaced FR kit. 1/11  *Unit out with coach 12/13  *Unit MISSING 6/15
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2012-12-20,,0,"kavon baker","(718) 467-7400",kbaker6@schools.nyc.gov
0303089089,NYC100_FR2,"400 Irving Avenue","The Brooklyn School for Social Justice",32-K-549,,,N,Brooklyn,11237,,No,No,,No,No,No,PSAL,2007-12-01,2007-12-01,2007-12-01,N,2009-06-01,,,,33,35,"Unit not available for inspection.  1/08, 4/08, 6/08, 10/08
Out with Coach: 2016-11-07 10:38:04
AED Marked Unavailable 

AED Marked Unavailable 2017-10-04

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2009-05-15,"Blake Karnes",2,"Eric Newville",,Enewville@schools.nyc.gov
0303089400,NYC_FR2,"90 Trinity Place","Leadership and Public Service High School",02-M-425,,9,N,"New York",10006,,No,No,,No,No,No,PSAL,2013-09-01,2013-09-01,2013-09-01,N,,,,,33,29,"Spare battery requested. 3/12  *Unit not found; missing?  4/13  *Unit unavailable 12/13 and again 4/14  *Unit now MISSING 11/14
AED Marked Unavailable 

AED Marked Unavailable 
",,"Taylor Litz",5,"Coury Velez",212-346-0007,"cvelez22@schools.nyc.gov "
0303089666,NYC100_FR2,"400 Irving Avenue","The Brooklyn School for Social Justice",32-K-549,,,N,Brooklyn,11237,,No,No,,No,No,No,"PSAL- ",2010-09-01,2010-09-01,2010-02-01,Y,2014-10-01,,,,33,35,"Not available for inspection 4/08  *Unit MISSING 5/10
Out with Coach: 2016-11-07 10:38:04
AED Marked Unavailable 

AED Marked Unavailable 2017-10-04

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2009-11-10,"Blake Karnes",2,"Eric Newville",,Enewville@schools.nyc.gov
0303089688,NYC100_FR2,"215 West 114 Street","Wadleigh Secondary School for the Performing & Visual Arts",03-M-415,M088,,N,"New York",10026,,No,No,,No,No,No,PSAL,2013-09-01,2013-09-01,2013-09-01,Y,2014-02-01,,,,31,20,"Needs updating.  Broken strap.
Previous Location: 1st Floor Security. 03/13/09. BM.  *Unit unavailable 5/12 and again 5/13 and again 12/13
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2021-11-22 12:54:31

MISSING - Police Report Needs to be Filed.
Princ, AD , and DOE notified police report advised 12/11/19 SF",2011-12-01,"Damian Carrera",3,"Persia Plaza",212-749-5800,pplaza@schools.nyc.gov
0303089748,NYC100_FR2,"400 Irving Avenue","The Brooklyn School for Social Justice",32-K-549,,,N,Brooklyn,11237,,No,No,,No,No,No,psal,2017-05-01,2017-05-01,2017-05-01,Y,2014-06-01,,,,33,35,"Not available for inspection 4/08 & 10/08  *Unit found 5/10
Out with Coach: 2016-11-07 10:38:04
AED Marked Unavailable 

AED Marked Unavailable 2017-10-04

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2016-11-07,"Blake Karnes",2,"Eric Newville",,Enewville@schools.nyc.gov
0303089763,NYC100_FR2,"215 West 114 Street","Wadleigh Secondary School for the Performing & Visual Arts",03-M-415,M088,,N,"New York",10026,,No,No,,No,No,No,PSAL,2007-01-01,2007-01-01,2007-01-01,N,2009-06-01,,,,31,20,"AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2021-11-22 12:54:31

MISSING - Police Report Needs to be Filed.
Princ, AD , and DOE notified police report advised 12/11/19 SF",2008-03-14,"Damian Carrera",3,"Persia Plaza",212-749-5800,pplaza@schools.nyc.gov
0303089764,NYC100_FR2,"850 Grand Street","PROGRESS High School for Professional Careers",14-K-474,,8,N,Brooklyn,11211,,No,No,,No,No,No,"RM 186",2017-05-01,2017-05-01,2016-12-01,Y,2015-05-01,,,,36,34,"Not available for inspection 5/08
Out with Coach: 2016-11-15 14:21:46
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2015-10-28,"Jonathan Cruz",11,"Johnny Chavez",3472316178,jchavez3@schools.nyc.gov
0304112504,NYC100_FR2,"122 Amsterdam Avenue","Urban Assembly School For Media Studies, The",03-M-307,,,N,"New York",10023,,No,Yes,"2010-11-23 12:29:49",No,No,No,"Outside Room 440",2018-03-01,2018-03-01,2018-04-01,Y,2015-06-01,,,,1,0,"Needs update.  Replaced battery 12/08
AED Marked Unavailable 
Possibly removed from box before it could be returned to DOE. Celeste and Donovan notified.

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2016-12-23,"Peter Shikar",2,"Lynette Delgado",212-501-1110,ldelgado@schools.nyc.gov
0304114206,NYC100_FR2,"71-77 Clinton Avenue","Benjamin Banneker Academy",13-K-670,,,N,Brooklyn,11205,,No,Yes,"2010-12-06 16:13:33",No,No,No,PSAL,2017-11-01,2017-11-01,2017-05-01,Y,2014-04-01,,,,37,35,"Unit not available 3/15  *Unit no longer MISSING -found.  11/15
Out with Coach: 2016-11-23 10:12:53
Police report advised via email 12/9/2016 SF
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.
AD Green, CM and HT emailed. Police report advised. 10/28/19 SF
Out with Coach: 2025-11-21 12:39:02",2016-05-26,"Jonathan Cruz",22,"Steven Green (retiring Fall 2024)",917-545-2227,stevenmel718@aol.com
0304114823,NYC100_FR2,"2500 Nostrand Avenue","Andries Hudde",22-K-240,,6,N,Brooklyn,11210,,No,No,,No,No,No,"Main Entrance next to School Safety",2007-06-01,2007-06-01,2009-01-01,Y,2010-04-01,,,,38,18,"No PC card.
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2009-04-07,"Blake Karnes",2,"Nigel Pestano",7182533700,NPestano@schools.nyc.gov
